File,Package,Type,Name,Parameters,ReturnType,Annotations,JavaDoc
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AuthController.java,com.rvce.scas.controller,Class,AuthController,,,RestController;RequestMapping;RequiredArgsConstructor;Tag,"Exposes the authentication API for issuing, renewing, and revoking tokens.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AuthController.java,com.rvce.scas.controller,Method,login,LoginRequest request,ResponseEntity<LoginResponse>,PostMapping;Operation,"Authenticates a user and returns the access and refresh token pair.

@param request login credentials submitted by the client
@return a login response containing bearer token metadata
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AuthController.java,com.rvce.scas.controller,Method,refresh,RefreshRequest request,ResponseEntity<LoginResponse>,PostMapping;Operation,"Rotates the refresh token and returns a new access token.

@param request the refresh token request containing the user id and opaque token id
@return a new token pair for continued access
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AuthController.java,com.rvce.scas.controller,Method,logout,"JwtPrincipal principal, String authHeader, LogoutRequest request",ResponseEntity<Void>,PostMapping;Operation,"Revokes the current device session and blacklists the presented tokens.

@param principal the authenticated user making the request
@param authHeader the bearer token supplied in the Authorization header
@param request the logout payload containing the refresh token id
@return an empty successful response
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\AuthController.java,com.rvce.scas.controller,Method,logoutAll,"JwtPrincipal principal, String authHeader",ResponseEntity<Void>,PostMapping;Operation,"Revokes every active session for the authenticated user.

@param principal the authenticated user making the request
@param authHeader the bearer token supplied in the Authorization header
@return an empty successful response
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\ExamController.java,com.rvce.scas.controller,Class,ExamController,,,RestController;RequestMapping,"Provides exam-related endpoints used by controllers and reviewers.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\ExamController.java,com.rvce.scas.controller,Method,publish,UUID examId,"ResponseEntity<Map<String, String>>",PostMapping,"Marks the requested exam as published.

@param examId the exam identifier to publish
@return a simple confirmation payload with the exam id and status
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\RoomsController.java,com.rvce.scas.controller,Class,RoomsController,,,RestController;RequestMapping,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\RoomsController.java,com.rvce.scas.controller,Method,availability,,"ResponseEntity<Map<String, String>>",GetMapping,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\RoomsController.java,com.rvce.scas.controller,Method,verifyOccupancy,UUID roomId,"ResponseEntity<Map<String, String>>",PostMapping,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TestController.java,com.rvce.scas.controller,Class,TestController,,,RestController;RequestMapping,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TestController.java,com.rvce.scas.controller,Method,hello,,TestResponseDto,GetMapping,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Class,TimetableController,,,Tag;RestController;RequestMapping;RequiredArgsConstructor,"<h3>Purpose</h3>
REST controller for all Epic 1 timetable operations (T-101 to T-105).
Provides endpoints for upload, queries, substitutions, and overrides.

<h3>Key Responsibilities</h3>
<ul>
  <li>Handle HTTP requests and responses</li>
  <li>Enforce RBAC via @PreAuthorize</li>
  <li>Validate request parameters</li>
</ul>

<h3>Dependencies</h3>
Depends on all Epic 1 services.

<h3>Transaction Behaviour</h3>
Controllers are not transactional — services handle transactions.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,uploadTimetable,MultipartFile file,ResponseEntity<UploadResultDto>,PostMapping;PreAuthorize;Operation,"Uploads a CSV timetable file (T-101).
Requires TTO role. Parses, validates, and persists schedule data transactionally.

@param file the CSV file to upload
@return upload result with success/error counts
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getAvailableRooms,"LocalDate date, LocalTime startTime, LocalTime endTime, Integer minCapacity, String building",ResponseEntity<List<RoomAvailabilityDto>>,GetMapping;Operation,"Queries available rooms for booking (T-102).
Returns cached results when available, otherwise queries database.

@param date date to check (optional, defaults to today)
@param startTime start of time window
@param endTime end of time window
@param minCapacity minimum capacity filter
@param building building filter
@return list of available rooms
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,substituteTeacher,SubstituteRequest request,ResponseEntity<SubstitutionResultDto>,PostMapping;PreAuthorize;Operation,"Substitutes one teacher with another for a date range (T-103).
Requires TTO or ADMIN role. Performs clash detection and atomic reassignment.

@param request substitution details
@return substitution result with reassignment count and clashes
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,createOverride,"OverrideRequest request, JwtPrincipal principal",ResponseEntity<OverrideDto>,PostMapping;PreAuthorize;Operation,"Creates a day override for cancelling or booking (T-104).
Teachers can cancel their own slots, admins can override any.

@param request override details
@param principal authenticated user
@return created override details
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getOverrides,"LocalDate date, java.util.UUID roomId",ResponseEntity<List<OverrideDto>>,GetMapping;Operation,"Retrieves overrides for a specific date (T-104).

@param date date to query
@param roomId optional room filter
@return list of overrides
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,deleteOverride,"java.util.UUID id, JwtPrincipal principal",ResponseEntity<Void>,DeleteMapping;PreAuthorize;Operation,"Deletes a day override, restoring canonical schedule (T-104).

@param id override ID to delete
@param principal authenticated user
@return no content on success
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getTeacherSchedule,"UUID teacherId, Integer dayOfWeek",ResponseEntity<List<TeacherScheduleDto>>,GetMapping;Operation,"Gets the schedule for a teacher on a specific day of week (T-105).

@param teacherId the teacher UUID
@param dayOfWeek day of week (1=Monday, 7=Sunday)
@return list of scheduled slots for that teacher on that day
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getTeacherWeeklySchedule,UUID teacherId,"ResponseEntity<Map<Integer, List<TeacherScheduleDto>>>",GetMapping;Operation,"Gets the full weekly schedule for a teacher (T-105).

@param teacherId the teacher UUID
@return map of day-of-week to scheduled slots
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getRoomSchedule,"Long roomId, Integer dayOfWeek",ResponseEntity<List<RoomScheduleDto>>,GetMapping;Operation,"Gets the schedule for a room on a specific day of week (T-105).

@param roomId the room ID
@param dayOfWeek day of week (1=Monday, 7=Sunday)
@return list of scheduled slots in that room on that day
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getRoomWeeklySchedule,Long roomId,"ResponseEntity<Map<Integer, List<RoomScheduleDto>>>",GetMapping;Operation,"Gets the full weekly schedule for a room (T-105).

@param roomId the room ID
@return map of day-of-week to scheduled slots
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\controller\TimetableController.java,com.rvce.scas.controller,Method,getTimetableAnalytics,,ResponseEntity<TimetableAnalyticsDto>,GetMapping;Operation,"Gets timetable analytics and utilization metrics (T-105).

@return analytics DTO with summary statistics
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\ErrorResponseDto.java,com.rvce.scas.dto,Class,ErrorResponseDto,,,Data;Builder;NoArgsConstructor;AllArgsConstructor,"Standardized error response DTO used by GlobalExceptionHandler for all exceptions.

<p><strong>Purpose:</strong> Provides consistent error response format across all
API endpoints. Used when any exception occurs during request processing.</p>

<p><strong>Field Descriptions:</strong></p>
<ul>
  <li>{@code timestamp}: ISO 8601 timestamp when error occurred</li>
  <li>{@code status}: HTTP status code (e.g., 401, 403, 404, 500)</li>
  <li>{@code error}: HTTP error name (e.g., ""Unauthorized"", ""Forbidden"")</li>
  <li>{@code code}: Application-specific error code for client-side error handling</li>
  <li>{@code message}: Human-readable error description</li>
  <li>{@code path}: Request URI path that caused the error</li>
  <li>{@code fieldErrors}: Map of validation error messages (field name -> error message)</li>
</ul>

<p><strong>Example Responses:</strong></p>
<pre>
  HTTP 401 Unauthorized
  {
    ""timestamp"": ""2024-04-30T12:34:56Z"",
    ""status"": 401,
    ""error"": ""Unauthorized"",
    ""code"": ""INVALID_CREDENTIALS"",
    ""message"": ""Invalid email or password."",
    ""path"": ""/api/auth/login"",
    ""fieldErrors"": null
  }

  HTTP 400 Bad Request (Validation Error)
  {
    ""timestamp"": ""2024-04-30T12:34:56Z"",
    ""status"": 400,
    ""error"": ""Bad Request"",
    ""code"": ""VALIDATION_ERROR"",
    ""message"": ""Request validation failed"",
    ""path"": ""/api/auth/login"",
    ""fieldErrors"": {
      ""email"": ""must be a valid email address"",
      ""password"": ""must not be blank""
    }
  }
</pre>

@author RVCE SCAS Team
@see GlobalExceptionHandler
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\LoginRequest.java,com.rvce.scas.dto,Class,LoginRequest,,,Data,"Request body for user login endpoint.

<p><strong>Endpoint:</strong> POST /api/auth/login</p>

<p><strong>Purpose:</strong> Captures user credentials for authentication.
Credentials are sent in request body (not URL query) to avoid logging and
exposure in browser history or Referer headers.</p>

<p><strong>Validation:</strong></p>
<ul>
  <li>{@code email}: Must be a valid email format and not blank</li>
  <li>{@code password}: Must not be blank (length validation can be added server-side)</li>
</ul>

<p><strong>Security Notes:</strong></p>
<ul>
  <li>Request should always be sent over HTTPS</li>
  <li>Server should never log the password field</li>
  <li>Client should send credentials only over HTTPS, never HTTP</li>
  <li>Email is normalized to lowercase on server side</li>
</ul>

<p><strong>Example Request:</strong></p>
<pre>
  POST /api/auth/login
  Content-Type: application/json

  {
    ""email"": ""student@example.com"",
    ""password"": ""securePassword123""
  }
</pre>

<p><strong>Response:</strong> HTTP 200 with {@link LoginResponse} containing
access token and refresh token.</p>

@author RVCE SCAS Team
@see LoginResponse
@see AuthService#login(String, String)
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\LoginResponse.java,com.rvce.scas.dto,Class,LoginResponse,,,Data;Builder;NoArgsConstructor;AllArgsConstructor,"Response body returned from successful login endpoint.

<p><strong>Endpoint:</strong> POST /api/auth/login</p>

<p><strong>Purpose:</strong> Returns authentication tokens and metadata to the client
after successful credential validation.</p>

<p><strong>Field Descriptions:</strong></p>
<ul>
  <li>{@code accessToken}: RS256-signed JWT for API authorization (15-minute expiry)</li>
  <li>{@code refreshToken}: Opaque identifier for token refresh (7-day expiry)</li>
  <li>{@code tokenType}: Always ""Bearer"" - indicates HTTP Authorization header format</li>
  <li>{@code expiresIn}: Access token lifetime in seconds (900 = 15 minutes)</li>
</ul>

<p><strong>Client Usage:</strong></p>
<ol>
  <li>Extract accessToken and store securely (memory or secure cookie)</li>
  <li>Extract refreshToken and store in secure storage</li>
  <li>Use token format: {@code Authorization: Bearer <accessToken>}</li>
  <li>When expiresIn time has elapsed, call /api/auth/refresh to get new tokens</li>
</ol>

<p><strong>Example Response:</strong></p>
<pre>
  HTTP 200 OK
  Content-Type: application/json

  {
    ""accessToken"": ""eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9..."",
    ""refreshToken"": ""550e8400-e29b-41d4-a716-446655440000"",
    ""tokenType"": ""Bearer"",
    ""expiresIn"": 900
  }
</pre>

@author RVCE SCAS Team
@see LoginRequest
@see TokenPair
@see AuthService#login(String, String)
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\LogoutRequest.java,com.rvce.scas.dto,Class,LogoutRequest,,,Data;NoArgsConstructor;AllArgsConstructor,"Request body for logout endpoints.
Keeps sensitive refresh token out of URL query parameters (avoid logs, browser history, Referer headers).
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\RefreshRequest.java,com.rvce.scas.dto,Class,RefreshRequest,,,Data,"Request body for token refresh endpoint.

<p><strong>Endpoint:</strong> POST /api/auth/refresh</p>

<p><strong>Purpose:</strong> Obtains new access token without re-entering password.
Uses an opaque refresh token stored in Redis to validate the refresh request.
Supports rotating refresh tokens to limit replay attack surface.</p>

<p><strong>Validation:</strong></p>
<ul>
  <li>{@code userId}: Must be a valid UUID (non-null)</li>
  <li>{@code refreshToken}: Must not be blank (typically a UUID string)</li>
</ul>

<p><strong>Security Notes:</strong></p>
<ul>
  <li>Refresh token is sent in request body (not query parameter) to avoid logging</li>
  <li>Server validates that the refresh token exists in Redis and matches the user ID</li>
  <li>Old refresh token is deleted after new one is minted (token rotation)</li>
  <li>If validation fails, returns 401 Unauthorized</li>
</ul>

<p><strong>Example Request:</strong></p>
<pre>
  POST /api/auth/refresh
  Content-Type: application/json

  {
    ""userId"": ""550e8400-e29b-41d4-a716-446655440000"",
    ""refreshToken"": ""550e8400-e29b-41d4-a716-446655440001""
  }
</pre>

<p><strong>Response:</strong> HTTP 200 with {@link LoginResponse} containing
new access token and rotated refresh token.</p>

@author RVCE SCAS Team
@see LoginResponse
@see AuthService#refresh(UUID, String)
@see TokenPair
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\request\OverrideRequest.java,com.rvce.scas.dto.request,Class,OverrideRequest,,,Data,"Request DTO for creating day overrides (T-104).
Used for cancelling classes or booking rooms.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\request\SubstituteRequest.java,com.rvce.scas.dto.request,Class,SubstituteRequest,,,Data,"Request DTO for teacher substitution operations (T-103).
Contains the parameters needed to reassign slots from one teacher to another.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\request\SubstituteRequest.java,com.rvce.scas.dto.request,Enum,SubstitutionScope,,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\ClashDetail.java,com.rvce.scas.dto.response,Class,ClashDetail,,,Data,"DTO representing a scheduling clash detected during substitution (T-103).
Provides details about why a slot cannot be reassigned.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\OverrideDto.java,com.rvce.scas.dto.response,Class,OverrideDto,,,Data,"Response DTO for day override operations (T-104).
Represents an existing override.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\RoomAvailabilityDto.java,com.rvce.scas.dto.response,Class,RoomAvailabilityDto,,,Data,"Response DTO for room availability queries (T-102).
Represents a room that is available for booking.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\RoomScheduleDto.java,com.rvce.scas.dto.response,Class,RoomScheduleDto,,,Data;NoArgsConstructor;AllArgsConstructor,"DTO for room schedule information.
Represents a single time slot scheduled in a room.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\SubstitutionResultDto.java,com.rvce.scas.dto.response,Class,SubstitutionResultDto,,,Data,"Response DTO for teacher substitution operations (T-103).
Contains the outcome of the substitution attempt.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\TeacherScheduleDto.java,com.rvce.scas.dto.response,Class,TeacherScheduleDto,,,Data;NoArgsConstructor;AllArgsConstructor,"DTO for teacher schedule information.
Represents a single time slot in a teacher's schedule.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\TimetableAnalyticsDto.java,com.rvce.scas.dto.response,Class,TimetableAnalyticsDto,,,Data;NoArgsConstructor;AllArgsConstructor,"DTO for timetable analytics and overview metrics.
Provides summary statistics about the current timetable state.
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\response\UploadResultDto.java,com.rvce.scas.dto.response,Class,UploadResultDto,,,Data,"Response DTO for timetable upload operations (T-101).
Contains the results of parsing and persisting CSV data.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\TestResponseDto.java,com.rvce.scas.dto,Class,TestResponseDto,,,Data;AllArgsConstructor,"Simple response DTO for backend health/connectivity checks.

<p><strong>Endpoint:</strong> GET /api/test</p>

<p><strong>Purpose:</strong> Verifies that the Spring Boot backend is running
and responding to requests. Used for health checks, load balancer status, and
development validation.</p>

<p><strong>Field Descriptions:</strong></p>
<ul>
  <li>{@code message}: Human-readable status message (e.g., ""Backend is working 🚀"")</li>
  <li>{@code status}: Status indicator (typically ""SUCCESS"" for healthy response)</li>
</ul>

<p><strong>Example Response:</strong></p>
<pre>
  HTTP 200 OK
  Content-Type: application/json

  {
    ""message"": ""Backend is working 🚀"",
    ""status"": ""SUCCESS""
  }
</pre>

<p><strong>Typical Use Cases:</strong></p>
<ul>
  <li>Frontend initial load check</li>
  <li>Load balancer health probe</li>
  <li>Docker container startup check</li>
  <li>Development validation that server is up</li>
</ul>

@author RVCE SCAS Team
@see TestService
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\dto\TokenPair.java,com.rvce.scas.dto,Class,TokenPair,,,Data;AllArgsConstructor,"Data transfer object containing a pair of JWT tokens returned from authentication endpoints.

<p><strong>Contents:</strong></p>
<ul>
  <li>{@code accessToken}: Short-lived JWT (15 minutes) containing user identity and permissions.</li>
  <li>{@code refreshToken}: Opaque identifier (UUID string) for obtaining new access tokens.</li>
</ul>

<p><strong>Usage Flow:</strong></p>
<ol>
  <li>Client calls /api/auth/login with email/password</li>
  <li>Server returns TokenPair with accessToken + refreshToken</li>
  <li>Client stores both tokens securely (accessToken in memory/secure cookie, refreshToken
      in secure storage)</li>
  <li>Client includes accessToken in Authorization header for API requests</li>
  <li>When accessToken expires, client calls /api/auth/refresh with userId + refreshToken</li>
  <li>Server returns new TokenPair with rotated refreshToken</li>
</ol>

<p><strong>Security Notes:</strong></p>
<ul>
  <li>Access token is a signed JWT visible to the client (contains claims but is signature-protected)</li>
  <li>Refresh token is opaque - only the server knows its meaning (stored in Redis)</li>
  <li>Refresh tokens should be stored in secure storage (secure cookies, encrypted local storage)</li>
  <li>Never store refresh tokens in localStorage if XSS risk exists</li>
</ul>

@author RVCE SCAS Team
@see AuthService#login(String, String)
@see AuthService#refresh(java.util.UUID, String)
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\DayOverride.java,com.rvce.scas.entity,Class,DayOverride,,,Entity;Table;Data,"<h3>Purpose</h3>
Represents date-specific overrides to the canonical timetable schedule.
Allows cancellations, occupations, or other exceptions without modifying the weekly slots.

<h3>Key Responsibilities</h3>
<ul>
  <li>Store temporary schedule changes for specific dates</li>
  <li>Support room booking and class cancellations</li>
  <li>Maintain referential integrity with timetable_slots</li>
</ul>

<h3>Dependencies</h3>
References TimetableSlot entity.

<h3>Transaction Behaviour</h3>
Created/deleted in T-104 operations; read in T-102 queries.

@author SCAS Engineering Team
@since 1.0
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\DayOverride.java,com.rvce.scas.entity,Enum,OverrideStatus,,,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\Permission.java,com.rvce.scas.entity,Class,Permission,,,Getter;Setter;Entity;Table,"Entity representing a fine-grained permission in a resource-action model.

<p><strong>Table:</strong> {@code permissions}</p>

<p><strong>Purpose:</strong> Permissions are the finest granularity of authorization.
Each permission is defined by a (resource, action) pair. For example,
resource=""EXAM"", action=""VIEW"" creates a permission to view exam data.</p>

<p><strong>Authorization in JWT:</strong> When generating tokens, permissions are
converted to strings like ""EXAM_VIEW"" and included in JWT claims for use by
Spring Security's {@code hasAuthority()} checks.</p>

@author RVCE SCAS Team
@see Role
@see RolePermission
@see UserRole
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\Role.java,com.rvce.scas.entity,Class,Role,,,Getter;Setter;Entity;Table,"Entity representing a system role with associated permissions.

<p><strong>Table:</strong> {@code roles}</p>

<p><strong>Examples of Roles:</strong></p>
<ul>
  <li>{@code ADMIN}: Full system access</li>
  <li>{@code TEACHER}: Can view and manage exam data</li>
  <li>{@code STUDENT}: Can view exam schedules and seat allocations</li>
  <li>{@code TIMETABLE_OPERATOR}: Can manage timetable data</li>
</ul>

<p><strong>Design Pattern:</strong> Roles are the coarse-grained layer in Role-Based
Access Control (RBAC). Each role contains zero or more fine-grained Permissions.
Users are assigned roles via the UserRole join table.</p>

@author RVCE SCAS Team
@see User
@see UserRole
@see Permission
@see RolePermission
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermission.java,com.rvce.scas.entity,Class,RolePermission,,,Getter;Setter;Entity;Table,"Join entity representing the many-to-many relationship between Role and Permission.

<p><strong>Table:</strong> {@code role_permissions}</p>

<p><strong>Purpose:</strong> Models M:N relationship where a role can have multiple
fine-grained permissions and a permission can be assigned to multiple roles.
This is the second dimension of the RBAC authorization hierarchy.</p>

<p><strong>Primary Key:</strong> Composite key using RolePermissionId (roleId + permissionId)
ensures no duplicate permission assignments for the same role.</p>

@author RVCE SCAS Team
@see Role
@see Permission
@see RolePermissionId
@see UserRole
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Class,RolePermissionId,,,Embeddable,"Composite primary key (embedded) for the RolePermission join entity.

<p><strong>Purpose:</strong> Uniquely identifies a role-permission assignment
by combining roleId and permissionId.

<p><strong>JPA Pattern:</strong> Marked with @Embeddable to be embedded in RolePermission.
Implements Serializable and properly overrides equals() and hashCode().

@author RVCE SCAS Team
@see RolePermission
@see Role
@see Permission
"
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Method,getRoleId,,UUID,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Method,setRoleId,UUID roleId,void,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Method,getPermissionId,,UUID,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Method,setPermissionId,UUID permissionId,void,,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Method,equals,Object o,boolean,Override,
c:\Users\kiran\Desktop\rvce-resource-allocator\backend\src\main\java\com\rvce\scas\entity\RolePermissionId.java,com.rvce.scas.entity,Method,hashCode,,int,Override,
